City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
51,Khatanga,RU,2022-02-04 16:07:34,71.9667,102.5,-34.58,100,99,3.58
52,Ahuimanu,US,2022-02-04 16:07:34,21.4447,-157.8378,68.45,83,0,0.0
53,Padang,ID,2022-02-04 16:07:35,-0.9492,100.3543,75.76,93,100,3.8
54,Ribeira Grande,PT,2022-02-04 16:07:35,38.5167,-28.7,63.0,72,40,16.11
55,Hobart,AU,2022-02-04 16:07:35,-42.8794,147.3294,59.25,84,100,5.75
56,Kodiak,US,2022-02-04 16:07:36,57.79,-152.4072,33.31,80,0,5.75
57,Colquiri,BO,2022-02-04 16:07:36,-17.4167,-67.1333,42.76,76,99,4.81
58,Aklavik,CA,2022-02-04 16:07:36,68.2191,-135.0107,-28.21,98,69,15.77
59,Muli,MV,2022-02-04 16:07:37,2.9167,73.5667,82.27,73,84,10.25
60,New Norfolk,AU,2022-02-04 16:07:37,-42.7826,147.0587,58.91,73,81,1.77
61,Sokolo,ML,2022-02-04 16:07:37,14.7328,-6.1219,89.76,7,62,8.28
62,Ancud,CL,2022-02-04 16:07:38,-41.8697,-73.8203,65.23,74,86,5.41
63,Tiksi,RU,2022-02-04 16:07:38,71.6872,128.8694,-19.68,99,98,6.67
64,Acapulco,MX,2022-02-04 16:02:49,16.8634,-99.8901,80.42,69,0,3.44
65,Cortes,ES,2022-02-04 16:07:38,41.9395,-1.4396,60.85,57,98,16.02
66,Congonhas,BR,2022-02-04 16:07:39,-20.4997,-43.8578,75.99,82,95,6.11
67,Los Lunas,US,2022-02-04 16:03:10,34.8062,-106.7334,27.3,73,5,4.47
68,Te Anau,NZ,2022-02-04 16:07:39,-45.4167,167.7167,44.26,95,96,3.71
69,Cidreira,BR,2022-02-04 16:07:40,-30.1811,-50.2056,77.99,73,94,4.52
70,Vaini,TO,2022-02-04 16:07:40,-21.2,-175.2,79.84,84,100,20.33
71,Albany,US,2022-02-04 16:07:40,42.6001,-73.9662,27.82,86,100,4.0
72,Vardo,NO,2022-02-04 16:07:41,70.3705,31.1107,19.38,79,40,17.27
73,Victoria,HK,2022-02-04 16:03:11,22.2855,114.1577,57.33,72,7,1.01
74,Bratsk,RU,2022-02-04 16:07:41,56.1325,101.6142,10.89,95,100,5.1
75,Fairbanks,US,2022-02-04 16:05:28,64.8378,-147.7164,1.74,66,100,3.44
