City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
164,Charters Towers,AU,75.15,broken clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
165,Harper,LR,79.92,scattered clouds,4.375,-7.7169,Screensaver
166,Bontang,ID,75.9,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
170,Mulchen,CL,80.46,clear sky,-37.7167,-72.2333,Hotel Los Maitenes de Villalón
171,Monrovia,LR,78.57,scattered clouds,6.3005,-10.7969,Sunset Inn
172,Itapora,BR,78.57,broken clouds,-22.0799,-54.7874,Hotel Santa Fé
173,San Cristobal,VE,77.18,broken clouds,7.7669,-72.225,Posada Villaven C.A.
177,Mapiripan,CO,84.36,overcast clouds,2.8892,-72.1256,Monserrate
180,Valparaiso,CL,71.24,clear sky,-33.0393,-71.6273,Hotel Ultramar
182,Lukulu,ZM,64.6,broken clouds,-14.3707,23.242,Ruth Guest House
184,Bundibugyo,UG,74.93,overcast clouds,0.7414,30.0417,R.A. Kaliisa Accomodations
189,Jurado,CO,79.36,light rain,7.1053,-77.7641,
190,Katherine,AU,77.32,overcast clouds,-14.4667,132.2667,Pine Tree Motel
193,Rach Gia,VN,73.35,scattered clouds,10.0167,105.0833,Nhà Hàng Hòa Giang
194,Touros,BR,81.5,few clouds,-5.1989,-35.4608,INN NEW HORIZON
196,Necochea,AR,61.03,moderate rain,-38.5473,-58.7368,dyd -mar Hotel
197,Kawalu,ID,71.87,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
200,Cockburn Town,TC,76.96,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
201,Alofi,NU,82.29,overcast clouds,-19.0595,-169.9187,Taloa Heights
203,Dingle,PH,74.34,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
205,Santa Ines,BR,74.93,overcast clouds,-3.6667,-45.38,Palace hotel
206,Road Town,VG,73.49,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
207,Rantauprapat,ID,71.67,overcast clouds,2.1,99.8333,Permata Land Hotel & Resort
210,Alyangula,AU,80.47,light intensity shower rain,-13.8483,136.4192,Groote Eylandt Lodge
213,Mogadishu,SO,76.17,scattered clouds,2.0371,45.3438,Hotel Juba
222,Tsaratanana,MG,73.09,light rain,-16.7833,47.65,
225,Banda Aceh,ID,77.79,overcast clouds,5.5577,95.3222,Sulthan Hotel International
228,Namibe,AO,72.75,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
229,Tonantins,BR,74.25,overcast clouds,-2.8731,-67.8022,Hotel Rei Davi
230,Conde,BR,80.06,few clouds,-7.2597,-34.9075,Pousada Beija Flor
231,Lompoc,US,71.22,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
234,Auki,SB,81.82,overcast clouds,-8.7676,160.7034,Auki Motel
236,Asosa,ET,64.15,scattered clouds,10.0667,34.5333,Blendana Hotel Assosa
238,Carnarvon,AU,77.07,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
239,Lima,PE,76.39,clear sky,-12.0432,-77.0282,Gran Hotel Bolivar Lima
240,Domoni,KM,79.16,light rain,-12.2569,44.5319,Al Djadid
243,Miri,MY,73.54,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
245,Otorohanga,NZ,83.57,overcast clouds,-38.1833,175.2,Otorohanga Kiwi Holiday Park
248,Maningrida,AU,79.14,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
253,Manuk Mangkaw,PH,80.22,overcast clouds,4.8,119.85,
