City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
121,Iskateley,RU,2022-02-04 22:29:03,67.6803,53.1512,-11.94,100,98,5.93,overcast clouds
122,Yerbogachen,RU,2022-02-04 22:29:03,61.2767,108.0108,-22.04,100,98,3.0,overcast clouds
123,Safranbolu,TR,2022-02-04 22:29:04,41.2508,32.6942,15.87,94,50,1.16,scattered clouds
124,Najran,SA,2022-02-04 22:29:04,17.4924,44.1277,66.85,67,6,8.03,clear sky
125,Kahului,US,2022-02-04 22:29:04,20.8947,-156.47,85.26,66,20,11.5,few clouds
126,Balabac,PH,2022-02-04 22:29:05,7.9868,117.0645,79.79,82,92,22.55,moderate rain
127,Salinopolis,BR,2022-02-04 22:29:05,-0.6136,-47.3561,78.78,84,99,9.4,moderate rain
128,Hilo,US,2022-02-04 22:26:09,19.7297,-155.09,79.61,80,100,5.75,overcast clouds
129,Upernavik,GL,2022-02-04 22:28:15,72.7868,-56.1549,-3.08,100,93,9.84,overcast clouds
130,Meulaboh,ID,2022-02-04 22:29:06,4.1363,96.1285,75.47,87,100,4.21,overcast clouds
131,Fuyang,CN,2022-02-04 22:29:06,32.9,115.8167,30.49,83,2,7.63,clear sky
132,Bethlehem,BR,2022-02-04 22:27:16,-1.4558,-48.5044,77.04,94,75,5.75,moderate rain
133,Jericho,PS,2022-02-04 22:29:06,31.8667,35.45,57.67,77,87,11.1,overcast clouds
134,Lethem,GY,2022-02-04 22:30:07,3.3803,-59.7968,83.7,56,75,7.45,broken clouds
135,Tyrma,RU,2022-02-04 22:30:07,50.0833,132.1667,-15.16,99,100,1.12,overcast clouds
136,Alice Springs,AU,2022-02-04 22:30:08,-23.7,133.8833,60.35,88,2,0.0,clear sky
137,Qasigiannguit,GL,2022-02-04 22:30:09,68.8193,-51.1922,12.45,87,100,6.98,overcast clouds
138,Kenai,US,2022-02-04 22:30:09,60.5544,-151.2583,28.02,91,100,0.0,overcast clouds
139,Vaini,TO,2022-02-04 22:30:10,-21.2,-175.2,78.89,87,100,22.59,moderate rain
140,Westport,US,2022-02-04 22:30:10,41.1415,-73.3579,35.8,92,100,3.0,light rain
